file,result,confidence,latency_ms
images - 2026-05-08T131317.596.jpeg,DEFECTIVE,100.0%,7.1
images - 2026-05-08T131325.422.jpeg,DEFECTIVE,99.9%,5.4
images - 2026-05-08T131336.890.jpeg,DEFECTIVE,100.0%,4.7
images - 2026-05-08T131346.966.jpeg,DEFECTIVE,100.0%,4.6
images - 2026-05-08T131539.489.jpeg,DEFECTIVE,100.0%,4.9
images - 2026-05-08T131556.247.jpeg,DEFECTIVE,100.0%,4.8
images - 2026-05-08T131602.813.jpeg,DEFECTIVE,100.0%,4.6
images - 2026-05-08T131610.312.jpeg,DEFECTIVE,99.7%,4.8
images - 2026-05-08T131617.740.jpeg,DEFECTIVE,99.8%,4.6
images - 2026-05-08T131625.836.jpeg,DEFECTIVE,98.5%,4.5
images - 2026-05-08T131632.322.jpeg,DEFECTIVE,100.0%,4.7
images - 2026-05-08T131640.446.jpeg,DEFECTIVE,96.5%,4.5
images - 2026-05-08T131648.994.jpeg,DEFECTIVE,100.0%,6.5
images - 2026-05-08T131704.035.jpeg,DEFECTIVE,96.7%,4.6
images - 2026-05-08T131711.756.jpeg,DEFECTIVE,99.7%,4.8
images - 2026-05-08T131718.441.jpeg,DEFECTIVE,96.5%,4.5
images - 2026-05-08T131725.670.jpeg,DEFECTIVE,100.0%,4.5
images - 2026-05-08T131732.736.jpeg,DEFECTIVE,100.0%,5.1
images - 2026-05-08T131742.870.jpeg,DEFECTIVE,99.1%,4.7
images - 2026-05-08T131753.096.jpeg,DEFECTIVE,100.0%,4.8
images - 2026-05-08T131800.280.jpeg,DEFECTIVE,99.3%,4.6
images - 2026-05-08T131809.414.jpeg,DEFECTIVE,99.9%,4.5
images - 2026-05-08T131815.716.jpeg,DEFECTIVE,99.9%,4.8
images - 2026-05-08T131822.263.jpeg,DEFECTIVE,100.0%,4.4
images - 2026-05-08T131829.628.jpeg,DEFECTIVE,96.8%,4.9
images - 2026-05-08T131837.175.jpeg,DEFECTIVE,100.0%,6.3
images - 2026-05-08T131843.650.jpeg,DEFECTIVE,99.5%,4.6
images - 2026-05-08T131851.887.jpeg,DEFECTIVE,97.2%,4.4
images - 2026-05-08T131858.283.jpeg,DEFECTIVE,99.9%,4.7
images - 2026-05-08T131906.867.jpeg,DEFECTIVE,100.0%,4.6
images - 2026-05-08T131920.632.jpeg,DEFECTIVE,99.5%,4.8
images - 2026-05-08T131935.237.jpeg,DEFECTIVE,93.3%,4.5
images - 2026-05-08T131946.716.jpeg,DEFECTIVE,100.0%,4.5
images - 2026-05-08T131959.600.jpeg,DEFECTIVE,99.9%,4.5
images - 2026-05-08T132015.218.jpeg,DEFECTIVE,99.6%,6.3
images - 2026-05-08T132022.111.jpeg,DEFECTIVE,100.0%,4.7
images - 2026-05-08T132030.138.jpeg,DEFECTIVE,100.0%,4.6
images - 2026-05-08T132037.689.jpeg,DEFECTIVE,100.0%,4.7
images - 2026-05-08T132046.583.jpeg,DEFECTIVE,100.0%,4.5
images - 2026-05-08T132056.191.jpeg,DEFECTIVE,100.0%,4.7
images - 2026-05-08T132105.877.jpeg,DEFECTIVE,99.5%,4.6
images - 2026-05-08T132113.640.jpeg,DEFECTIVE,97.0%,6.5
images - 2026-05-08T132120.109.jpeg,DEFECTIVE,99.8%,6.5
images - 2026-05-08T132126.040.jpeg,DEFECTIVE,100.0%,4.7
images - 2026-05-08T132134.251.jpeg,DEFECTIVE,100.0%,4.4
images - 2026-05-08T132141.556.jpeg,DEFECTIVE,92.4%,4.9
images - 2026-05-08T132150.743.jpeg,DEFECTIVE,100.0%,4.7
images - 2026-05-08T132157.193.jpeg,DEFECTIVE,99.4%,4.5
images - 2026-05-08T132207.445.jpeg,DEFECTIVE,98.5%,4.5
images - 2026-05-08T132450.302.jpeg,DEFECTIVE,98.9%,6.0
images - 2026-05-08T132458.267.jpeg,DEFECTIVE,99.9%,5.2
images - 2026-05-08T132504.659.jpeg,DEFECTIVE,96.9%,4.6
images - 2026-05-08T132514.336.jpeg,DEFECTIVE,99.8%,5.0
images - 2026-05-08T132521.935.jpeg,DEFECTIVE,99.9%,4.6
images - 2026-05-08T132531.808.jpeg,UNCERTAIN,58.3%,4.4
images - 2026-05-08T132541.554.jpeg,DEFECTIVE,100.0%,4.6
images - 2026-05-08T132550.686.jpeg,DEFECTIVE,100.0%,4.5
images - 2026-05-08T132559.371.jpeg,DEFECTIVE,100.0%,4.6
images - 2026-05-08T132606.286.jpeg,DEFECTIVE,99.8%,4.6
images - 2026-05-08T132614.185.jpeg,DEFECTIVE,100.0%,4.5
images - 2026-05-08T132624.942.jpeg,DEFECTIVE,98.3%,4.7
images - 2026-05-08T132638.858.jpeg,DEFECTIVE,99.4%,4.9
images - 2026-05-08T132650.480.jpeg,DEFECTIVE,99.7%,4.6
images - 2026-05-08T132659.452.jpeg,DEFECTIVE,100.0%,4.6
images - 2026-05-08T132710.072.jpeg,DEFECTIVE,99.7%,5.0
images - 2026-05-08T132717.847.jpeg,DEFECTIVE,99.2%,4.4
images - 2026-05-08T132731.374.jpeg,DEFECTIVE,100.0%,4.3
images - 2026-05-08T132739.548.jpeg,DEFECTIVE,100.0%,4.3
images - 2026-05-08T132747.611.jpeg,DEFECTIVE,100.0%,4.4
images - 2026-05-08T132755.514.jpeg,DEFECTIVE,99.0%,4.4
images - 2026-05-08T132802.621.jpeg,DEFECTIVE,99.8%,4.7
images - 2026-05-08T132810.768.jpeg,DEFECTIVE,100.0%,4.7
images - 2026-05-08T132817.310.jpeg,DEFECTIVE,94.7%,4.6
images - 2026-05-08T132826.875.jpeg,DEFECTIVE,100.0%,4.5
images - 2026-05-08T132833.127.jpeg,DEFECTIVE,97.5%,4.6
images - 2026-05-08T132840.954.jpeg,DEFECTIVE,97.2%,4.5
images - 2026-05-08T132847.721.jpeg,DEFECTIVE,100.0%,4.6
images - 2026-05-08T132859.184.jpeg,DEFECTIVE,90.7%,4.4
images - 2026-05-08T132905.888.jpeg,DEFECTIVE,97.3%,4.6
images - 2026-05-08T132923.488.jpeg,DEFECTIVE,92.2%,4.4
images - 2026-05-08T132930.542.jpeg,DEFECTIVE,99.8%,4.5
images - 2026-05-08T132940.671.jpeg,DEFECTIVE,100.0%,4.4
images - 2026-05-08T132952.159.jpeg,DEFECTIVE,89.0%,4.4
images - 2026-05-08T133002.324.jpeg,DEFECTIVE,99.0%,4.4
images - 2026-05-08T133012.431.jpeg,DEFECTIVE,71.1%,4.5
images - 2026-05-08T133022.594.jpeg,UNCERTAIN,69.9%,4.4
images.jpeg,DEFECTIVE,100.0%,4.6
moldy_bread (1).jpeg,DEFECTIVE,73.4%,4.3
moldy_bread (1).jpg,DEFECTIVE,99.8%,4.5
moldy_bread (1).png,DEFECTIVE,83.7%,4.7
moldy_bread (10).jpg,DEFECTIVE,99.5%,4.4
moldy_bread (11).jpg,DEFECTIVE,100.0%,4.7
moldy_bread (12).jpg,DEFECTIVE,100.0%,4.5
